rs_id,gene_symbol,clinvar_variation_id,clinical_signficance,medgen_id,condition_name
rs80338950,GJB2,RCV000480903,Pathogenic,CN517202,not provided
rs80338950,GJB2,RCV000678889,Pathogenic,C3887873,Hearing loss
rs80338950,GJB2,RCV000826191,Pathogenic,CN826980,Rare genetic deafness
rs80338950,GJB2,RCV001001450,Pathogenic,CN169374,not specified
rs104894398,GJB2,RCV000018529,Pathogenic,C2673759,"Deafness, autosomal recessive 1A (DFNB1A)"
rs104894398,GJB2,RCV000080366,Pathogenic,CN517202,not provided
rs104894398,GJB2,RCV000146008,Pathogenic,C1384666,Hearing impairment
rs104894398,GJB2,RCV000211760,Pathogenic,CN826980,Rare genetic deafness
rs104894398,GJB2,RCV000515308,Pathogenic,,
rs104894398,GJB2,RCV000678867,Pathogenic,C3887873,Hearing loss
rs104894398,GJB2,RCV001001394,Pathogenic,CN235283,none provided
rs104894398,GJB2,RCV001257036,Pathogenic,CN043648,Nonsyndromic hearing loss and deafness
rs104894517,HP,RCV000017249,Affects,C3279786,Anhaptoglobinemia (AHP)
rs104894682,FKRP,RCV000004444,Pathogenic,C1846672,"Limb-girdle muscular dystrophy-dystroglycanopathy, type C5 (MDDGC5)"
rs104894682,FKRP,RCV000471321,Pathogenic,C0265221,Walker-Warburg congenital muscular dystrophy (MDDGA1)
rs104894682,FKRP,RCV000501528,Likely pathogenic,CN229783,Muscular dystrophy-dystroglycanopathy
rs104894682,FKRP,RCV000725596,Pathogenic,CN517202,not provided
rs104894927,RP2,RCV000011297,Pathogenic,C2681923,Retinitis pigmentosa 2 (RP2)
rs104894927,RP2,RCV000504994,Pathogenic,C0854723,Retinal dystrophy
rs104894927,RP2,RCV000787701,Pathogenic,C0035334,Retinitis pigmentosa (RP)
rs104894927,RP2,RCV001047806,Pathogenic,CN517202,not provided
rs104895506,NLRP7,RCV000001653,Pathogenic,C3463897,"Hydatidiform mole, recurrent, 1 (HYDM1)"
rs10490924,ARMS2,RCV000001030,Benign,C3151070,Age-related macular degeneration 8 (ARMD8)
rs10490924,ARMS2,RCV000190307,not provided,CN517202,not provided
rs1061170,CFH,RCV000296616,Benign,C0730295,Basal laminar drusen
rs1061170,CFH,RCV000327040,Benign,C1853147,Age-related macular degeneration 4 (ARMD4)
rs1061170,CFH,RCV000349294,Benign,CN071292,CFH-Related Dense Deposit Disease / Membranoproliferative Glomerulonephritis Type II
rs1061170,CFH,RCV000388493,Benign,C2749604,Atypical hemolytic-uremic syndrome 1 (AHUS1)
rs1050828,G6PD,RCV000011075,Pathogenic,C2939465,Glucose 6 phosphate dehydrogenase deficiency
rs1050828,G6PD,RCV000011157,other,,G6PD ASAHI
rs1050828,G6PD,RCV000079404,Pathogenic,C2720289,"Anemia, nonspherocytic hemolytic, due to G6PD deficiency"
rs1050828,G6PD,RCV000211231,drug response,CN236472,chlorproguanil and dapsone response - Toxicity/ADR
rs1050828,G6PD,RCV000224469,Conflicting interpretations of pathogenicity,CN517202,not provided
rs1050828,G6PD,RCV000606259,not provided,C2939465,Glucose 6 phosphate dehydrogenase deficiency
rs1050828,G6PD,RCV000761431,Uncertain significance,C3806722,"Parkinsonism with spasticity, X-linked (XPDS)"
rs1050828,G6PD,RCV000999820,Pathogenic,CN169374,not specified
rs1050828,G6PD,RCV001095679,Pathogenic,,
rs1050828,G6PD,RCV001267358,Pathogenic,C0950123,Inborn genetic diseases
rs1050829,G6PD,RCV000011073,other,,G6PD A+
rs1050829,G6PD,RCV000011075,Pathogenic,C2939465,Glucose 6 phosphate dehydrogenase deficiency
rs1050829,G6PD,RCV000011109,other,,G6PD SANTAMARIA
rs1050829,G6PD,RCV000079405,Conflicting interpretations of pathogenicity,CN517202,not provided
rs1050829,G6PD,RCV000178823,Conflicting interpretations of pathogenicity,C2720289,"Anemia, nonspherocytic hemolytic, due to G6PD deficiency"
rs1050829,G6PD,RCV000307631,Likely benign,C2939465,Glucose 6 phosphate dehydrogenase deficiency
rs1050829,G6PD,RCV000477820,Pathogenic,,
rs1050829,G6PD,RCV000761430,Benign,C3806712,Bone mineral density quantitative trait locus 18 (BMND18)
rs1050829,G6PD,RCV000999876,Likely benign,CN169374,not specified
rs1050829,G6PD,RCV001095678,Pathogenic,,
rs1050829,G6PD,RCV001267359,Pathogenic,C0950123,Inborn genetic diseases
rs137853016,SACS,RCV000005849,Pathogenic,C1849140,Charlevoix-Saguenay spastic ataxia (SACS)
rs137853017,SACS,RCV000005852,Pathogenic,C1849140,Charlevoix-Saguenay spastic ataxia (SACS)
rs774906736,SACS,RCV000458276,Pathogenic,C0037772,Spastic paraplegia
rs774906736,SACS,RCV000624366,Pathogenic,C0950123,Inborn genetic diseases
rs1057516766,MLC1,RCV000410132,Likely pathogenic,CN034246,Megalencephalic leukoencephalopathy with subcortical cysts 1 (MLC1)
rs1057517233,ATP7B,RCV000411074,Pathogenic,C0019202,Wilson disease (WND)
rs193922107,ATP7B,RCV000029374,Pathogenic/Likely pathogenic,C0019202,Wilson disease (WND)
rs193922107,ATP7B,RCV000413521,Pathogenic,CN517202,not provided
rs193922109,ATP7B,RCV000029377,Pathogenic,C0019202,Wilson disease (WND)
rs193922109,ATP7B,RCV000494120,Pathogenic,CN517202,not provided
rs60431989,ATP7B,RCV000004067,Pathogenic,C0019202,Wilson disease (WND)
rs60431989,ATP7B,RCV000023582,Pathogenic,C0019202,Wilson disease (WND)
rs60431989,ATP7B,RCV000727509,Pathogenic,CN517202,not provided
rs72552285,ATP7B,RCV000169521,Likely pathogenic,C0019202,Wilson disease (WND)
rs72552285,ATP7B,RCV000504595,Pathogenic,C0019202,Wilson disease (WND)
rs72552285,ATP7B,RCV000631234,Pathogenic/Likely pathogenic,C0019202,Wilson disease (WND)
rs758355520,ATP7B,RCV000668789,Pathogenic/Likely pathogenic,C0019202,Wilson disease (WND)
rs758355520,ATP7B,RCV000169558,Pathogenic,C0019202,Wilson disease (WND)
rs758355520,ATP7B,RCV001310695,Pathogenic,CN517202,not provided
rs334,LOC106099062,RCV000016352,other,,HEMOGLOBIN G (MAKASSAR)
rs334,LOC106099062,RCV000016286,other,,HEMOGLOBIN ZIGUINCHOR
rs334,LOC106099062,RCV000016573,other,C0019043,HEMOGLOBIN S
rs334,LOC106099062,RCV000016574,Pathogenic,C0002895,Hb SS disease (SCD)
rs334,LOC106099062,RCV000016575,protective,C2720293,"Malaria, resistance to"
rs334,LOC106099062,RCV000016576,Pathogenic,,HEMOGLOBIN S (ANTILLES)
rs334,LOC106099062,RCV000016577,Pathogenic,C1264000,Sickle cell-Hemoglobin O Arab disease
rs334,LOC106099062,RCV000016579,Pathogenic,,HEMOGLOBIN S (PROVIDENCE)
rs334,LOC106099062,RCV000016580,Pathogenic,,HEMOGLOBIN S (TRAVIS)
rs334,LOC106099062,RCV000016877,Pathogenic,,HEMOGLOBIN S (CAMEROON)
rs334,LOC106099062,RCV000016879,other,,HEMOGLOBIN JAMAICA PLAIN
rs334,LOC106099062,RCV000030905,other,,HEMOGLOBIN ZIGUINCHOR
rs334,LOC106099062,RCV000224000,Pathogenic,CN517202,not provided
rs334,LOC106099062,RCV000477892,Pathogenic,,
rs334,LOC106099062,RCV000576548,Conflicting interpretations of pathogenicity,C0005283,beta Thalassemia (BTHAL)
rs334,LOC106099062,RCV000623118,Pathogenic,C0950123,Inborn genetic diseases
rs334,LOC106099062,RCV000723337,Likely benign,C1841621,Fetal hemoglobin quantitative trait locus 1 (HBFQTL1)
rs334,LOC106099062,RCV000999922,Pathogenic,CN235283,none provided
rs334,LOC106099062,RCV001104054,Likely benign,C0019024,Hemoglobin E
rs334,LOC106099062,RCV001192494,Pathogenic,CN202572,Sickle cell disease and related diseases
rs334,LOC106099062,RCV001255121,Pathogenic,C0002871,Anemia
rs111033307,SLC26A4,RCV000005100,Pathogenic,C0271829,Pendred syndrome (PDS)
rs111033307,SLC26A4,RCV000036437,Pathogenic,CN826980,Rare genetic deafness
rs111033307,SLC26A4,RCV000413198,Pathogenic,CN517202,not provided
rs111033307,SLC26A4,RCV001004641,Affects,C3538946,"Deafness, autosomal recessive 4, with enlarged vestibular aqueduct (DFNB4)"
rs111033558,HFE,RCV000000035,Pathogenic,C3469186,Hemochromatosis type 1 (HFE1)
rs121918324,PPOX,RCV000009233,Pathogenic,C0162532,Variegate porphyria (VP)
rs121918324,PPOX,RCV001232723,Pathogenic,CN517202,not provided
rs1799945,HFE-AS1,RCV000000026,Pathogenic,C3469186,Hemochromatosis type 1 (HFE1)
rs1799945,HFE-AS1,RCV000000027,risk factor,C2673520,Microvascular complications of diabetes 7 (MVCD7)
rs1799945,HFE-AS1,RCV000175607,"Conflicting interpretations of pathogenicity, other",CN517202,not provided
rs1799945,HFE-AS1,RCV000394716,Pathogenic,C0392514,Hereditary hemochromatosis (HFE)
rs1799945,HFE-AS1,RCV000763144,Pathogenic,,
rs1799945,HFE-AS1,RCV000844708,Conflicting interpretations of pathogenicity,CN169374,not specified
rs1799945,HFE-AS1,RCV000991133,risk factor,C0010674,Cystic fibrosis (CF)
rs1799945,HFE-AS1,RCV001248831,not provided,C0018995,Bronze diabetes
rs1800562,HFE,RCV000000019,Pathogenic,C3469186,Hemochromatosis type 1 (HFE1)
rs1800562,HFE,RCV000000020,risk factor,,"Porphyria cutanea tarda, susceptibility to"
rs1800562,HFE,RCV000000021,risk factor,,"Porphyria variegata, susceptibility to"
rs1800562,HFE,RCV000000022,Pathogenic,C3150862,"Hemochromatosis, juvenile, digenic"
rs1800562,HFE,RCV000000023,risk factor,,"Alzheimer disease, susceptibility to"
rs1800562,HFE,RCV000000024,association,C3280096,Transferrin serum level quantitative trait locus 2 (TFQTL2)
rs1800562,HFE,RCV000000025,risk factor,C2673520,Microvascular complications of diabetes 7 (MVCD7)
rs1800562,HFE,RCV000178096,"Pathogenic, other",CN517202,not provided
rs1800562,HFE,RCV000210820,Pathogenic,C0027672,Hereditary cancer-predisposing syndrome
rs1800562,HFE,RCV000308358,Pathogenic,C0392514,Hereditary hemochromatosis (HFE)
rs1800562,HFE,RCV000414811,Uncertain significance,,
rs1800562,HFE,RCV000844709,risk factor,CN205842,Hemochromatosis type 2 (HFE2)
rs1800562,HFE,RCV001248830,not provided,C0018995,Bronze diabetes
rs1800562,HFE,RCV001262214,Pathogenic,C0002395,Alzheimer disease (AD)
rs1800562,HFE,RCV001270034,Pathogenic,,
rs28934595,HFE,RCV000000034,Pathogenic,C3469186,Hemochromatosis type 1 (HFE1)
rs111033559,CEP85L,RCV000014606,Pathogenic,C1835928,Dilated cardiomyopathy 1P (CMD1P)
rs111033559,CEP85L,RCV000183815,Pathogenic,CN517202,not provided
rs111033559,CEP85L,RCV000211844,Pathogenic,C0007193,Primary dilated cardiomyopathy (DCM)
rs111033559,CEP85L,RCV000769213,Pathogenic,C0878544,Cardiomyopathy (CMYO)
rs111033690,GALT,RCV000022105,Likely pathogenic,C0268151,Deficiency of UDPglucose-hexose-1-phosphate uridylyltransferase (GALAC1)
rs111033690,GALT,RCV000003802,Pathogenic/Likely pathogenic,C0268151,Deficiency of UDPglucose-hexose-1-phosphate uridylyltransferase (GALAC1)
rs111033690,GALT,RCV000185915,Pathogenic,CN517202,not provided
rs371956016,MERTK,RCV000005734,Pathogenic,C3151228,Retinitis pigmentosa 38 (RP38)
rs371956016,MERTK,RCV000624145,Pathogenic,C0950123,Inborn genetic diseases
rs371956016,MERTK,RCV001073654,Pathogenic,C0854723,Retinal dystrophy
rs371956016,MERTK,RCV001208965,Pathogenic,CN517202,not provided
rs371956016,MERTK,RCV001257903,Pathogenic,C0339526,Autosomal recessive retinitis pigmentosa
rs11209026,IL23R,RCV000003254,protective,C4017090,"Inflammatory bowel disease 17, protection against"
rs11209026,IL23R,RCV000003255,protective,C4017658,"Psoriasis, protection against"
rs20541,IL13,RCV000015785,risk factor,C1869116,"Asthma, susceptibility to"
rs20541,IL13,RCV000015786,risk factor,,"Allergic rhinitis, susceptibility to"
rs112176450,EIF4G1,RCV000022975,risk factor,C3280271,Parkinson disease 18 (PARK18)
rs606231276,TGM5,RCV000144911,Uncertain significance,C1853354,Peeling skin syndrome 2 (PSS2)
rs1127354,ITPA,RCV000015867,Affects,C0342800,Inosine triphosphatase deficiency
rs1127354,ITPA,RCV000211370,drug response,CN236453,peginterferon alfa-2b and ribavirin response - Toxicity/ADR
rs1127354,ITPA,RCV000223768,drug response,CN236452,"interferon alfa-2b, recombinant and ribavirin response - Dosage, Toxicity/ADR"
rs1131692059,ESR1,RCV000495838,Pathogenic/Likely pathogenic,C3809250,Estrogen resistance (ESTRR)
rs1042522,TP53,RCV000164487,Uncertain significance,C0027672,Hereditary cancer-predisposing syndrome
rs1042522,TP53,RCV000227427,Uncertain significance,C0085390,Li-Fraumeni syndrome (LFS)
rs1042522,TP53,RCV000013144,Benign,,CODON 72 POLYMORPHISM
rs1042522,TP53,RCV000034639,Benign,CN517202,not provided
rs1042522,TP53,RCV000079202,Benign,CN169374,not specified
rs1042522,TP53,RCV000132165,Benign,C0027672,Hereditary cancer-predisposing syndrome
rs1042522,TP53,RCV000144668,Benign,C1835398,Li-Fraumeni syndrome 1 (LFS)
rs1042522,TP53,RCV000211157,drug response,CN236572,"paclitaxel response - Efficacy, Toxicity/ADR"
rs1042522,TP53,RCV000211212,drug response,CN236518,"cyclophosphamide response - Efficacy, Toxicity/ADR"
rs1042522,TP53,RCV000211311,drug response,CN236462,"antineoplastic agents response - Efficacy, Toxicity/ADR"
rs1042522,TP53,RCV000211338,drug response,CN236554,"fluorouracil response - Efficacy, Toxicity/ADR"
rs1042522,TP53,RCV000211395,drug response,CN236501,"cisplatin response - Efficacy, Toxicity/ADR"
rs1042522,TP53,RCV000300782,Benign,C0085390,Li-Fraumeni syndrome (LFS)
rs1042522,TP53,RCV001255631,Pathogenic,C0220641,Lip and oral cavity carcinoma
rs1042522,TP53,RCV001282762,Benign,CN235283,none provided
rs118203963,SPG11,RCV000001168,Pathogenic,C1858479,"Spastic paraplegia 11, autosomal recessive (SPG11)"
rs118203963,SPG11,RCV000202373,Pathogenic,C4225253,"Charcot-Marie-Tooth disease, axonal type 2X (CMT2X)"
rs118203963,SPG11,RCV000414837,Pathogenic,,
rs118203963,SPG11,RCV000518418,Pathogenic,CN517202,not provided
rs312262720,SPG11,RCV000001171,Pathogenic,C1858479,"Spastic paraplegia 11, autosomal recessive (SPG11)"
rs312262720,SPG11,RCV000193699,Pathogenic,C1865864,Amyotrophic lateral sclerosis type 5 (ALS5)
rs312262720,SPG11,RCV000256068,Pathogenic,CN517202,not provided
rs312262720,SPG11,RCV000515921,Pathogenic,C0037773,Hereditary spastic paraplegia
rs312262720,SPG11,RCV001266812,Pathogenic,C0950123,Inborn genetic diseases
rs118203978,MFSD8,RCV000001059,Uncertain significance,C1838571,Neuronal ceroid lipofuscinosis 7 (CLN7)
rs118203978,MFSD8,RCV000188166,Pathogenic,CN517202,not provided
rs118203986,CCT5,RCV000001390,Uncertain significance,C1850395,"Neuropathy, hereditary sensory, with spastic paraplegia, autosomal recessive"
rs118203986,CCT5,RCV000434241,Likely pathogenic,CN517202,not provided
rs118204089,PKLR,RCV000001578,Pathogenic,C0340968,Pyruvate kinase deficiency of red cells
rs118204094,HMBS,RCV000001510,Pathogenic,C0162565,Acute intermittent porphyria (AIP)
rs118204094,HMBS,RCV001212053,Pathogenic,CN517202,not provided
rs121434256,AIRE,RCV000169129,Pathogenic,C0085859,"Polyglandular autoimmune syndrome, type 1 (APS1)"
rs121434256,AIRE,RCV000412909,Pathogenic,CN517202,not provided
rs121434371,GCDH,RCV000002164,Conflicting interpretations of pathogenicity,C0268595,"Glutaric aciduria, type 1 (GA1)"
rs121434371,GCDH,RCV000790796,Pathogenic,CN517202,not provided
rs121434508,TMEM126A,RCV000000438,Pathogenic,C2751812,Optic atrophy 7 (OPA7)
rs121434514,KIFBP,RCV000001803,Pathogenic,C1321551,Shprintzen-Goldberg syndrome (SGS)
rs1801133,MTHFR,RCV000003697,Conflicting interpretations of pathogenicity,C1856059,"MTHFR deficiency, thermolabile type"
rs1801133,MTHFR,RCV000144921,Uncertain significance,C0238198,Gastrointestinal stromal tumor (GIST)
rs1801133,MTHFR,RCV000153516,"Uncertain significance, other",CN517202,not provided
rs1801133,MTHFR,RCV000211133,drug response,CN236519,cyclophosphamide response - Toxicity/ADR
rs1801133,MTHFR,RCV000211336,drug response,CN236495,carboplatin response - Efficacy
rs1801133,MTHFR,RCV000259890,Likely benign,C1866558,"Neural tube defects, folate-sensitive (NTDFS)"
rs1801133,MTHFR,RCV000417131,drug response,CN240598,"methotrexate response - Dosage, Efficacy, Toxicity/ADR"
rs1801133,MTHFR,RCV000427078,not provided,C0038356,Neoplasm of stomach
rs1801133,MTHFR,RCV000428048,Benign,CN169374,not specified
rs1801133,MTHFR,RCV000761447,Uncertain significance,C3160733,Thrombophilia due to thrombin defect (THPH1)
rs1801133,MTHFR,RCV001030751,Pathogenic,C1856058,Homocystinuria due to methylene tetrahydrofolate reductase deficiency
rs1801133,MTHFR,RCV001276670,Benign,C4017062,Homocystinuria due to MTHFR deficiency
rs1801133,MTHFR,RCV001283662,risk factor,CN235283,none provided
rs121907930,FANCA,RCV000003616,Pathogenic,C3469521,"Fanconi anemia, complementation group A (FANCA)"
rs587776570,FANCA,RCV000003615,Pathogenic,C3469521,"Fanconi anemia, complementation group A (FANCA)"
rs121907952,HEXA,RCV000004096,Likely pathogenic,C0039373,Tay-Sachs disease (TSD)
rs121907957,HEXA,RCV000004106,Pathogenic/Likely pathogenic,C0039373,Tay-Sachs disease (TSD)
rs121907957,HEXA,RCV000336253,Pathogenic,CN517202,not provided
rs121907969,HEXA,RCV000004125,Pathogenic,C0039373,Tay-Sachs disease (TSD)
rs121908028,LDLR,RCV000455843,Pathogenic,C0745103,Familial hypercholesterolemia 1 (FHCL1)
rs121908028,LDLR,RCV000508876,Benign,C0745103,Familial hypercholesterolemia 1 (FHCL1)
rs121908028,LDLR,RCV001180057,Likely benign,C0020445,Familial hypercholesterolemia (FH)
rs121908028,LDLR,RCV000003876,Pathogenic/Likely pathogenic,C0745103,Familial hypercholesterolemia 1 (FHCL1)
rs121908028,LDLR,RCV000771320,Pathogenic,C0020445,Familial hypercholesterolemia (FH)
rs121908028,LDLR,RCV000844737,Pathogenic,C0342881,Homozygous familial hypercholesterolemia
rs121908029,LDLR,RCV000211631,Pathogenic/Likely pathogenic,C0745103,Familial hypercholesterolemia 1 (FHCL1)
rs121908029,LDLR,RCV000518828,Pathogenic,CN517202,not provided
rs121908029,LDLR,RCV000589867,Pathogenic,C0020445,Familial hypercholesterolemia (FH)
rs121908029,LDLR,RCV000825617,Pathogenic,C0342881,Homozygous familial hypercholesterolemia
rs121908030,LDLR,RCV000237933,Pathogenic/Likely pathogenic,C0745103,Familial hypercholesterolemia 1 (FHCL1)
rs121908030,LDLR,RCV000508931,Likely pathogenic,C0745103,Familial hypercholesterolemia 1 (FHCL1)
rs121908030,LDLR,RCV000003880,Pathogenic/Likely pathogenic,C0745103,Familial hypercholesterolemia 1 (FHCL1)
rs121908030,LDLR,RCV000148569,Likely pathogenic,C0020443,Hypercholesterolaemia
rs121908030,LDLR,RCV000622705,Pathogenic,C0950123,Inborn genetic diseases
rs121908030,LDLR,RCV000791377,Pathogenic,C0020445,Familial hypercholesterolemia (FH)
rs121908030,LDLR,RCV000826215,Pathogenic,C0342881,Homozygous familial hypercholesterolemia
rs121908030,LDLR,RCV000985772,Pathogenic,CN517202,not provided
